Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
Klay Thompson,DAL,35.0,N/A,23,21.8,11.0,2.6,1.3,0.3,0.3,10.6,0.7,0.8,0.366,0.354,0.49528301886792453,0.8,7,16,111.8,116.1
Kobe Brown,LAC,25.0,N/A,16,12.0,3.8,2.2,1.1,0.4,0.1,3.2,0.8,0.6,0.412,0.273,0.5,0.833,3,13,111.6,116.8
Kobe Sanders,LAC,23.0,N/A,16,20.0,6.9,2.0,1.3,0.6,0.1,5.4,1.5,1.3,0.414,0.348,0.5185185185185185,0.917,4,12,111.6,116.8
Koby Brea,PHX,23.0,N/A,2,3.9,2.0,0.5,1.0,0.0,0.0,1.5,1.0,0.0,0.333,0.0,0.3333333333333333,1.0,1,1,115.9,113.5
Kon Knueppel,CHA,20.0,N/A,24,33.5,18.0,5.5,3.3,0.8,0.2,13.7,2.3,2.4,0.459,0.403,0.5839416058394161,0.909,7,17,114.2,118.3
Kris Dunn,LAC,31.0,N/A,24,26.3,7.7,2.8,2.7,1.7,0.2,6.2,1.1,1.2,0.483,0.345,0.5483870967741935,0.741,6,18,111.6,116.8
Kris Murray,POR,25.0,N/A,22,24.7,5.5,3.8,1.1,1.1,0.3,4.9,0.8,0.9,0.449,0.279,0.5,0.667,7,15,117.4,120.7
Kristaps Porziņģis,ATL,30.0,N/A,13,25.9,19.2,5.6,3.1,0.5,1.6,12.8,5.3,0.9,0.497,0.364,0.5703125,0.855,6,7,118.0,116.4
Kyle Anderson,UTA,32.0,N/A,8,18.3,7.5,2.8,3.3,1.5,0.4,5.6,1.9,0.9,0.533,1.0,0.5446428571428571,0.733,1,7,117.6,125.8
Kyle Filipowski,UTA,22.0,N/A,22,22.6,9.6,6.4,2.5,0.6,0.5,7.3,2.5,1.2,0.472,0.333,0.547945205479452,0.722,8,14,117.6,125.8
Kyle Kuzma,MIL,30.0,N/A,24,25.9,12.8,4.4,2.2,0.9,0.5,9.8,3.0,1.5,0.496,0.333,0.5357142857142857,0.732,10,14,115.1,118.0
Kyle Lowry,PHI,39.0,N/A,3,8.1,2.0,0.3,1.3,0.3,0.0,1.3,0.0,0.0,0.5,0.5,0.8076923076923075,0.0,3,0,116.9,116.10000000000001
Kyshawn George,WAS,21.0,N/A,20,31.5,15.2,5.9,4.8,1.1,0.9,11.5,2.6,3.4,0.47,0.45,0.5782608695652174,0.745,2,18,112.4,128.3
LaMelo Ball,CHA,24.0,N/A,16,28.9,19.4,6.0,8.5,1.1,0.2,17.3,4.1,3.3,0.386,0.285,0.45664739884393063,0.877,5,11,114.2,118.3
Lachlan Olbrich,CHI,21.0,N/A,5,7.2,0.4,2.2,0.6,0.0,0.0,1.2,0.0,0.4,0.167,0.0,0.16666666666666669,0.0,0,5,117.3,122.6
Landry Shamet,NYK,28.0,N/A,15,20.9,9.3,2.0,1.2,0.4,0.2,6.2,2.3,0.5,0.452,0.424,0.6048387096774194,0.794,9,6,120.5,111.9
Larry Nance Jr.,CLE,32.0,N/A,16,15.0,3.6,2.8,1.3,0.6,0.3,4.1,0.2,0.6,0.354,0.303,0.41463414634146345,0.333,10,6,118.6,115.39999999999999
Lauri Markkanen,UTA,28.0,N/A,22,35.1,27.6,6.5,2.0,0.8,0.4,19.5,6.8,1.2,0.472,0.361,0.5487179487179487,0.907,8,14,117.6,125.8
LeBron James,LAL,40.0,N/A,7,33.1,16.1,4.7,7.6,0.7,0.3,13.9,3.1,1.9,0.464,0.333,0.5179856115107914,0.545,6,1,118.3,116.1
Leonard Miller,MIN,22.0,N/A,9,4.3,1.7,1.2,0.4,0.2,0.0,1.3,0.6,0.4,0.5,0.0,0.5384615384615384,0.6,6,3,119.6,114.69999999999999
Liam McNeeley,CHA,20.0,N/A,18,14.1,4.9,2.4,0.9,0.2,0.1,3.7,1.3,0.6,0.394,0.409,0.5135135135135135,0.826,6,12,114.2,118.3
Lindy Waters III,SAS,28.0,N/A,11,7.5,2.3,1.2,0.5,0.2,0.0,2.1,0.0,0.1,0.391,0.333,0.5238095238095238,0.0,7,4,119.6,115.3
Lonzo Ball,CLE,28.0,N/A,18,23.5,5.5,4.6,4.9,1.2,0.3,6.3,0.7,1.8,0.292,0.266,0.39682539682539686,0.667,10,8,118.6,115.39999999999999
Luguentz Dort,OKC,26.0,N/A,15,29.1,8.0,3.9,1.1,1.0,0.4,7.3,0.9,0.7,0.382,0.312,0.4931506849315068,0.923,15,0,123.0,106.8
Luka Dončić,LAL,26.0,N/A,17,37.0,35.0,9.2,9.1,1.5,0.6,22.9,12.1,4.4,0.472,0.335,0.5502183406113538,0.81,13,4,118.3,116.1
Luka Garza,BOS,26.0,N/A,19,13.1,6.1,3.5,0.8,0.3,0.4,3.7,1.6,0.4,0.571,0.44,0.6486486486486486,0.774,11,8,117.3,110.6
Luke Kennard,ATL,29.0,N/A,22,20.7,7.6,2.0,2.3,0.9,0.0,5.5,1.0,1.0,0.479,0.438,0.6090909090909091,0.952,12,10,118.0,116.4
Luke Kornet,SAS,30.0,N/A,15,25.0,7.5,6.2,2.3,0.3,1.5,4.6,2.1,0.7,0.638,0.0,0.6304347826086957,0.781,11,4,119.6,115.3
Luke Travers,CLE,24.0,N/A,11,8.9,2.2,1.9,0.8,0.5,0.4,3.1,0.8,0.2,0.206,0.063,0.20967741935483872,1.0,6,5,118.6,115.39999999999999
Mac McClung,IND,26.0,N/A,3,11.3,6.3,1.3,0.3,1.7,0.3,6.0,1.3,0.7,0.389,0.2,0.44166666666666665,0.75,0,3,111.3,118.89999999999999
Malaki Branham,WAS,22.0,N/A,11,8.0,3.6,1.6,0.9,0.2,0.1,2.5,1.8,0.5,0.393,0.182,0.44000000000000006,0.8,1,10,112.4,128.3
Malik Monk,SAC,27.0,N/A,21,23.5,12.6,2.0,2.3,0.9,0.5,10.8,1.6,1.0,0.438,0.396,0.5185185185185185,0.853,5,16,111.4,122.0
Marcus Sasser,DET,25.0,N/A,1,4.2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,118.7,113.2
Marcus Smart,LAL,31.0,N/A,14,26.8,9.3,2.3,2.9,1.8,0.3,7.4,2.3,1.9,0.408,0.254,0.47972972972972966,0.938,11,3,118.3,116.1
Mark Sears,MIL,23.0,N/A,7,3.7,3.1,0.3,0.3,0.0,0.0,1.9,1.1,0.6,0.462,0.5,0.631578947368421,0.75,1,6,115.1,118.0
Mark Williams,PHX,23.0,N/A,20,25.1,13.2,8.6,1.1,1.4,0.8,7.9,3.6,1.1,0.658,1.0,0.6645569620253164,0.764,13,7,115.9,113.5
Marvin Bagley III,WAS,26.0,N/A,18,17.8,8.5,4.8,1.3,0.6,0.8,5.8,1.8,0.9,0.606,0.444,0.6206896551724138,0.697,2,16,112.4,128.3
Mason Plumlee,CHA,35.0,N/A,10,9.4,1.7,2.9,1.1,0.4,0.0,0.6,1.1,0.6,0.833,0.0,0.8333333333333334,0.636,4,6,114.2,118.3
Matas Buzelis,CHI,21.0,N/A,23,28.6,14.0,5.7,1.6,0.9,1.4,10.9,2.9,2.1,0.464,0.33,0.5275229357798165,0.818,9,14,117.3,122.6
Matisse Thybulle,POR,28.0,N/A,4,12.2,5.0,1.0,0.8,2.5,0.0,2.5,1.0,0.3,0.6,0.667,0.8,1.0,2,2,117.4,120.7
Max Christie,DAL,22.0,N/A,25,28.9,11.8,3.2,1.9,0.4,0.4,8.3,1.6,1.2,0.488,0.466,0.6325301204819277,0.821,9,16,111.8,116.1
Maxi Kleber,LAL,33.0,N/A,10,12.1,1.8,1.8,0.6,0.2,0.3,1.5,0.4,0.2,0.4,0.375,0.5,0.75,6,4,118.3,116.1
Maxime Raynaud,SAC,22.0,N/A,16,16.8,8.1,4.4,1.0,0.3,0.5,6.2,1.7,0.8,0.525,0.308,0.5564516129032258,0.815,5,11,111.4,122.0
Micah Peavy,NOP,24.0,N/A,21,16.3,4.9,2.4,1.1,0.6,0.1,5.2,0.7,0.4,0.394,0.176,0.41346153846153844,0.714,2,19,113.0,123.6
Michael Porter Jr.,BKN,27.0,N/A,19,32.8,25.8,7.6,3.2,0.9,0.3,18.7,4.6,2.2,0.496,0.392,0.5909090909090909,0.818,6,13,109.4,117.2
Mikal Bridges,NYK,29.0,N/A,24,34.4,16.4,4.6,4.3,2.0,1.1,12.3,1.5,1.0,0.525,0.41,0.6219512195121951,0.806,17,7,120.5,111.9
Mike Conley,MIN,38.0,N/A,24,19.1,5.3,1.8,3.2,0.6,0.1,4.3,1.2,0.7,0.363,0.366,0.4767441860465116,0.931,15,9,119.6,114.69999999999999
Miles Bridges,CHA,27.0,N/A,24,34.7,21.0,6.3,3.6,0.6,0.5,17.0,4.8,1.6,0.425,0.308,0.5,0.852,7,17,114.2,118.3
Miles Kelly,DAL,22.0,N/A,2,5.6,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,1,1,111.8,116.1
Miles McBride,NYK,25.0,N/A,20,26.9,11.6,2.6,2.5,0.7,0.3,9.1,1.2,0.8,0.436,0.444,0.5934065934065935,0.792,16,4,120.5,111.9
Mitchell Robinson,NYK,27.0,N/A,16,17.5,3.6,8.2,1.1,0.8,0.9,2.4,1.6,0.8,0.667,0.0,0.6666666666666667,0.2,11,5,120.5,111.9
Mohamed Diawara,NYK,20.0,N/A,17,3.3,0.7,0.6,0.5,0.2,0.1,0.8,0.1,0.3,0.357,0.333,0.43749999999999994,0.0,12,5,120.5,111.9
Monte Morris,IND,30.0,N/A,6,10.8,3.0,1.2,1.5,0.2,0.2,3.3,0.7,0.3,0.35,0.25,0.40909090909090906,0.5,0,6,111.3,118.89999999999999
Moses Moody,GSW,23.0,N/A,23,24.9,11.7,3.2,1.4,0.9,0.7,9.0,2.3,1.2,0.406,0.392,0.5444444444444445,0.846,11,12,113.5,111.7
Mouhamed Gueye,ATL,23.0,N/A,25,17.2,5.8,3.8,1.0,0.6,0.6,4.9,0.7,0.7,0.496,0.269,0.5510204081632653,0.5,14,11,118.0,116.4
Moussa Cisse,DAL,23.0,N/A,18,10.1,2.9,3.3,0.2,0.2,1.1,1.9,1.5,0.7,0.618,0.0,0.631578947368421,0.407,5,13,111.8,116.1
Moussa Diabaté,CHA,23.0,N/A,23,22.4,8.7,7.8,1.2,0.7,1.0,5.1,3.1,0.8,0.636,0.0,0.6470588235294118,0.704,7,16,114.2,118.3
Myles Turner,MIL,29.0,N/A,25,28.7,12.6,5.7,1.7,0.9,1.6,9.6,2.6,1.1,0.438,0.392,0.5572916666666666,0.727,10,15,115.1,118.0
Myron Gardner,MIA,24.0,N/A,4,2.4,1.5,0.5,0.3,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.5,0.0,4,0,121.7,118.2
N'Faly Dante,ATL,24.0,N/A,4,3.9,0.8,1.8,0.0,0.5,0.0,1.0,0.3,0.3,0.25,0.0,0.3,1.0,3,1,118.0,116.4
Nae'Qwan Tomlin,CLE,24.0,N/A,16,17.0,7.2,3.4,0.6,0.9,0.8,5.8,1.6,0.4,0.489,0.188,0.5172413793103449,0.731,9,7,118.6,115.39999999999999
Naji Marshall,DAL,27.0,N/A,25,27.5,12.6,5.0,2.5,1.2,0.1,8.2,3.9,1.1,0.517,0.312,0.5731707317073171,0.804,9,16,111.8,116.1
Naz Reid,MIN,26.0,N/A,24,25.9,13.5,6.0,2.3,1.0,0.9,11.2,1.3,1.5,0.454,0.381,0.5580357142857143,0.767,15,9,119.6,114.69999999999999
Neemias Queta,BOS,26.0,N/A,22,24.2,10.1,8.2,1.7,0.7,1.4,6.8,2.0,0.8,0.658,0.0,0.6617647058823529,0.628,13,9,117.3,110.6
Nic Claxton,BKN,26.0,N/A,23,30.2,13.6,7.7,4.5,0.7,1.4,9.2,4.7,1.5,0.557,0.091,0.5543478260869565,0.694,6,17,109.4,117.2
Nick Richards,PHX,28.0,N/A,22,9.8,3.7,3.3,0.3,0.1,0.5,2.7,1.3,0.9,0.517,0.0,0.5185185185185185,0.679,12,10,115.9,113.5
Nick Smith Jr.,LAL,21.0,N/A,9,14.8,7.8,1.1,1.6,0.8,0.2,6.2,0.7,1.2,0.464,0.483,0.5967741935483871,0.667,5,4,118.3,116.1
Nickeil Alexander-Walker,ATL,27.0,N/A,23,32.7,20.7,3.5,3.4,1.0,0.7,15.1,4.2,2.2,0.468,0.391,0.5662251655629138,0.856,12,11,118.0,116.4
Nicolas Batum,LAC,36.0,N/A,24,19.4,4.4,2.8,0.8,0.9,0.4,3.8,0.3,0.7,0.378,0.376,0.5394736842105263,0.857,6,18,111.6,116.8
Nigel Hayes-Davis,PHX,30.0,N/A,17,8.9,1.5,1.3,0.4,0.4,0.1,2.1,0.1,0.4,0.333,0.083,0.35714285714285715,0.5,8,9,115.9,113.5
Nikola Jokić,DEN,30.0,N/A,23,34.9,29.2,12.3,11.0,1.3,0.8,17.1,7.2,3.5,0.612,0.414,0.6754385964912281,0.855,17,6,125.0,116.3
Nikola Jović,MIA,22.0,N/A,18,19.3,7.6,3.7,2.8,0.6,0.4,6.6,2.2,1.9,0.39,0.283,0.4621212121212122,0.718,9,9,121.7,118.2
Nikola Vučević,CHI,35.0,N/A,22,30.4,15.9,9.5,3.4,0.8,0.3,13.2,1.7,1.8,0.479,0.38,0.5492424242424243,0.789,9,13,117.3,122.6
Nique Clifford,SAC,23.0,N/A,20,16.2,4.5,2.6,1.5,0.4,0.3,4.1,0.9,0.8,0.407,0.333,0.48780487804878053,0.667,5,15,111.4,122.0
Noa Essengue,CHI,18.0,N/A,2,3.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,117.3,122.6
Noah Clowney,BKN,21.0,N/A,23,28.1,13.3,3.8,1.7,0.6,0.7,9.5,3.8,1.7,0.417,0.361,0.5421052631578948,0.818,6,17,109.4,117.2
Noah Penda,ORL,20.0,N/A,13,8.7,3.6,3.2,1.1,0.1,0.2,2.7,0.8,0.5,0.486,0.6,0.5740740740740741,0.636,6,7,117.8,113.39999999999999
Nolan Traore,BKN,19.0,N/A,4,8.8,1.8,0.3,1.3,0.5,0.0,2.3,0.5,0.5,0.222,0.333,0.32608695652173914,0.5,0,4,109.4,117.2
Norman Powell,MIA,32.0,N/A,20,30.7,24.6,3.8,2.4,1.2,0.3,16.3,6.1,1.9,0.5,0.436,0.598159509202454,0.861,12,8,121.7,118.2
OG Anunoby,NYK,28.0,N/A,15,30.6,15.7,5.3,1.9,1.9,0.7,12.0,2.2,1.8,0.478,0.394,0.5791666666666667,0.788,11,4,120.5,111.9
Obi Toppin,IND,27.0,N/A,3,27.4,14.0,6.7,1.7,1.0,0.0,12.0,3.0,2.0,0.417,0.176,0.4583333333333333,1.0,0,3,111.3,118.89999999999999
Ochai Agbaji,TOR,25.0,N/A,18,14.6,3.4,2.1,0.7,0.4,0.3,3.6,0.7,0.3,0.385,0.095,0.40277777777777773,0.769,9,9,115.8,113.89999999999999
Olivier-Maxence Prosper,MEM,23.0,N/A,13,9.4,4.1,2.4,0.5,0.2,0.1,2.8,1.8,0.4,0.405,0.111,0.44642857142857145,0.917,6,7,113.6,115.3
Onyeka Okongwu,ATL,24.0,N/A,24,30.7,16.0,7.4,3.0,0.9,1.1,12.1,2.6,1.9,0.507,0.355,0.578512396694215,0.758,13,11,118.0,116.4
Orlando Robinson,ORL,25.0,N/A,3,7.2,2.3,1.0,0.7,0.3,0.0,1.7,0.0,0.0,0.6,0.5,0.676470588235294,0.0,2,1,117.8,113.39999999999999
Oso Ighodaro,PHX,23.0,N/A,24,17.5,4.9,3.5,1.7,0.8,0.6,3.7,1.1,1.2,0.607,0.0,0.6216216216216215,0.385,14,10,115.9,113.5
Ousmane Dieng,OKC,22.0,N/A,16,12.6,3.9,1.7,0.9,0.1,0.3,3.4,0.4,0.4,0.418,0.393,0.5147058823529412,1.0,15,1,123.0,106.8
P.J. Washington,DAL,27.0,N/A,20,31.9,15.9,7.8,2.2,1.2,1.2,13.3,3.8,2.6,0.44,0.333,0.5037593984962406,0.684,6,14,111.8,116.1
PJ Hall,MEM,23.0,N/A,7,3.8,1.9,1.3,0.3,0.0,0.3,1.3,0.4,0.1,0.556,0.333,0.5769230769230769,0.667,2,5,113.6,115.3
Pacôme Dadiet,NYK,20.0,N/A,9,2.4,0.4,0.6,0.2,0.0,0.0,0.7,0.2,0.0,0.167,0.0,0.14285714285714288,1.0,7,2,120.5,111.9
Paolo Banchero,ORL,23.0,N/A,15,31.3,20.2,7.9,3.8,0.6,0.8,14.0,8.4,2.5,0.448,0.298,0.48928571428571427,0.778,8,7,117.8,113.39999999999999
Pascal Siakam,IND,31.0,N/A,23,34.2,24.5,7.0,4.1,1.3,0.5,18.6,7.0,2.2,0.481,0.366,0.532258064516129,0.683,6,17,111.3,118.89999999999999
Pat Connaughton,CHA,32.0,N/A,12,9.7,4.3,1.9,0.6,0.4,0.1,3.1,0.8,0.3,0.486,0.375,0.6129032258064515,0.667,3,9,114.2,118.3
Pat Spencer,GSW,29.0,N/A,17,15.8,7.4,2.4,3.2,0.7,0.1,6.1,1.2,0.9,0.466,0.444,0.5163934426229508,0.9,9,8,113.5,111.7
Patrick Williams,CHI,24.0,N/A,22,20.9,7.2,3.3,1.3,1.0,0.3,6.7,1.2,1.0,0.367,0.405,0.48507462686567165,0.667,8,14,117.3,122.6
Paul George,PHI,35.0,N/A,8,24.4,14.1,5.0,3.1,1.6,0.4,11.4,3.4,1.4,0.418,0.349,0.5043859649122807,0.815,5,3,116.9,116.10000000000001
Paul Reed,DET,26.0,N/A,18,12.0,6.7,4.6,1.2,0.8,0.7,4.4,1.1,1.1,0.646,0.462,0.6704545454545453,0.6,14,4,118.7,113.2
Payton Pritchard,BOS,27.0,N/A,24,32.4,17.1,4.3,5.0,0.8,0.1,14.0,2.1,1.3,0.449,0.34,0.5464285714285715,0.86,15,9,117.3,110.6
Pelle Larsson,MIA,24.0,N/A,24,21.9,8.7,2.5,3.2,0.5,0.2,6.7,2.3,1.0,0.444,0.338,0.5223880597014925,0.778,14,10,121.7,118.2
Pete Nance,MIL,25.0,N/A,5,3.1,3.2,0.6,0.2,0.0,0.0,1.8,0.0,0.0,0.667,0.571,0.888888888888889,0.0,0,5,115.1,118.0
Peyton Watson,DEN,23.0,N/A,23,27.2,10.3,5.1,1.7,0.9,1.2,7.9,2.1,1.3,0.492,0.375,0.5569620253164557,0.729,17,6,125.0,116.3
Precious Achiuwa,SAC,26.0,N/A,17,20.5,7.6,5.4,1.0,0.8,0.5,6.1,1.9,0.5,0.544,0.2,0.5573770491803279,0.455,4,13,111.4,122.0
Quentin Grimes,PHI,25.0,N/A,22,32.9,16.5,4.0,4.4,0.9,0.4,11.8,4.1,2.7,0.452,0.371,0.5508474576271186,0.857,12,10,116.9,116.10000000000001
Quenton Jackson,IND,27.0,N/A,5,20.1,11.8,3.4,3.6,1.0,0.2,7.4,3.6,1.2,0.541,0.5,0.6216216216216215,0.722,1,4,111.3,118.89999999999999
Quinten Post,GSW,25.0,N/A,25,17.5,7.4,4.0,1.3,0.6,0.6,6.1,0.6,0.8,0.451,0.35,0.5737704918032788,0.786,13,12,113.5,111.7
RJ Barrett,TOR,25.0,N/A,17,30.9,19.4,4.8,3.8,0.8,0.2,13.9,4.7,1.5,0.506,0.356,0.5755395683453237,0.725,12,5,115.8,113.89999999999999
Rasheer Fleming,PHX,21.0,N/A,12,5.6,2.0,1.3,0.2,0.3,0.2,2.3,0.4,0.3,0.296,0.188,0.3695652173913044,1.0,7,5,115.9,113.5
RayJ Dennis,LAC,24.0,N/A,13,12.9,4.9,1.6,2.0,0.2,0.3,5.5,0.7,1.1,0.306,0.316,0.3909090909090909,0.889,2,11,111.6,116.8
Rayan Rupert,POR,21.0,N/A,17,7.7,1.4,1.5,0.2,0.4,0.1,1.8,0.2,0.5,0.3,0.25,0.3333333333333333,0.5,8,9,117.4,120.7
Reed Sheppard,HOU,21.0,N/A,21,24.9,13.0,3.1,3.3,1.6,0.5,10.2,1.0,1.3,0.477,0.446,0.607843137254902,0.714,15,6,120.9,110.30000000000001
Riley Minix,SAS,25.0,N/A,3,2.8,3.0,0.7,0.3,0.3,0.0,2.0,0.0,0.0,0.667,0.333,0.725,0.0,2,1,119.6,115.3
Rob Dillingham,MIN,20.0,N/A,21,10.2,3.7,1.1,2.0,0.7,0.1,4.2,0.6,1.0,0.348,0.286,0.3928571428571428,0.692,13,8,119.6,114.69999999999999
Robert Williams III,POR,28.0,N/A,15,15.3,5.6,5.4,0.7,0.6,1.7,4.0,0.5,0.4,0.667,0.125,0.6875,0.429,5,10,117.4,120.7
Ron Harper Jr.,BOS,25.0,N/A,4,5.1,2.0,0.8,1.0,0.3,0.5,2.5,0.0,0.0,0.3,0.25,0.42000000000000004,0.0,3,1,117.3,110.6
Ronald Holland II,DET,20.0,N/A,24,21.1,8.0,3.3,1.6,1.7,0.3,7.4,1.7,1.4,0.401,0.265,0.45945945945945943,0.78,19,5,118.7,113.2
Royce O'Neale,PHX,32.0,N/A,24,29.9,10.8,5.4,3.0,1.3,0.3,8.8,0.4,1.4,0.427,0.414,0.6022727272727272,0.7,14,10,115.9,113.5
Rudy Gobert,MIN,33.0,N/A,24,31.3,11.1,10.1,1.9,0.4,1.5,6.2,3.8,1.5,0.736,0.0,0.7258064516129032,0.538,15,9,119.6,114.69999999999999
Rui Hachimura,LAL,27.0,N/A,22,33.1,14.0,3.9,0.8,0.5,0.2,10.1,1.6,1.0,0.536,0.462,0.6336633663366337,0.75,16,6,118.3,116.1
Russell Westbrook,SAC,37.0,N/A,24,28.8,13.9,7.0,7.3,1.4,0.2,11.9,2.5,3.3,0.437,0.374,0.5168067226890757,0.617,6,18,111.4,122.0
Ryan Dunn,PHX,22.0,N/A,19,23.6,7.7,5.1,1.8,1.4,0.6,6.8,0.9,0.8,0.457,0.314,0.5147058823529412,0.667,12,7,115.9,113.5
Ryan Kalkbrenner,CHA,23.0,N/A,22,25.5,9.0,6.7,0.5,0.7,1.9,4.7,1.9,1.2,0.798,0.0,0.8085106382978723,0.756,7,15,114.2,118.3
Ryan Nembhard,DAL,22.0,N/A,12,18.5,8.9,1.6,4.8,0.3,0.0,6.7,0.3,1.2,0.563,0.536,0.664179104477612,0.667,6,6,111.8,116.1
Ryan Rollins,MIL,23.0,N/A,25,32.3,17.5,4.2,6.0,1.6,0.3,14.2,2.2,2.6,0.476,0.39,0.5598591549295775,0.782,10,15,115.1,118.0
Saddiq Bey,NOP,26.0,N/A,24,29.3,14.3,5.9,2.2,1.0,0.1,11.3,3.0,0.6,0.456,0.349,0.5309734513274336,0.746,3,21,113.0,123.6
Sam Hauser,BOS,28.0,N/A,24,22.3,7.2,3.4,1.4,0.7,0.3,6.7,0.2,0.5,0.366,0.364,0.5298507462686567,0.75,15,9,117.3,110.6
Sam Merrill,CLE,29.0,N/A,12,25.9,13.9,2.1,2.3,0.5,0.3,9.7,1.3,0.8,0.466,0.444,0.654639175257732,0.938,9,3,118.6,115.39999999999999
Sandro Mamukelashvili,TOR,26.0,N/A,25,19.5,9.7,4.3,1.7,0.5,0.6,7.0,2.0,0.8,0.514,0.368,0.5857142857142856,0.776,14,11,115.8,113.89999999999999
Santi Aldama,MEM,24.0,N/A,24,26.0,13.1,6.5,3.0,1.0,0.7,10.7,2.5,1.1,0.469,0.33,0.5327102803738318,0.683,11,13,113.6,115.3
Scottie Barnes,TOR,24.0,N/A,26,33.9,19.7,7.8,5.3,1.4,1.6,15.1,3.8,2.4,0.501,0.383,0.5496688741721854,0.847,15,11,115.8,113.89999999999999
Seth Curry,GSW,35.0,N/A,2,16.0,7.0,2.0,1.5,1.0,0.0,4.5,0.0,0.0,0.667,0.5,0.7777777777777778,0.0,0,2,113.5,111.7
Shaedon Sharpe,POR,22.0,N/A,20,28.4,21.1,4.8,2.3,1.4,0.2,17.5,5.3,2.9,0.438,0.264,0.4857142857142857,0.8,7,13,117.4,120.7
Shai Gilgeous-Alexander,OKC,27.0,N/A,23,33.4,32.8,4.7,6.4,1.4,0.7,19.4,10.2,1.7,0.556,0.443,0.6134020618556701,0.881,22,1,123.0,106.8
Sharife Cooper,WAS,24.0,N/A,4,2.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1,3,112.4,128.3
Sidy Cissoko,POR,21.0,N/A,19,18.4,4.9,2.2,1.3,0.5,0.2,4.3,0.9,1.0,0.402,0.319,0.48837209302325585,0.667,6,13,117.4,120.7
Simone Fontecchio,MIA,30.0,N/A,24,18.6,9.8,2.9,1.6,0.5,0.2,7.8,1.6,1.0,0.41,0.37,0.5448717948717949,0.821,14,10,121.7,118.2
Sion James,CHA,23.0,N/A,24,26.1,6.6,3.1,1.5,0.8,0.5,5.0,1.5,1.0,0.412,0.368,0.52,0.865,7,17,114.2,118.3
Spencer Jones,DEN,24.0,N/A,19,15.9,4.6,2.1,0.7,0.6,0.2,2.9,0.7,0.6,0.571,0.452,0.7068965517241379,0.643,14,5,125.0,116.3
Stephen Curry,GSW,37.0,N/A,16,31.0,27.9,3.7,4.0,1.3,0.6,19.4,5.4,3.1,0.471,0.391,0.5902061855670103,0.919,9,7,113.5,111.7
Stephon Castle,SAS,21.0,N/A,14,31.3,17.4,5.8,7.4,1.6,0.4,12.1,6.6,3.9,0.482,0.25,0.5247933884297521,0.71,10,4,119.6,115.3
Steven Adams,HOU,32.0,N/A,17,21.8,6.6,9.2,1.5,0.7,0.8,4.4,2.5,1.1,0.533,0.0,0.5454545454545454,0.762,13,4,120.9,110.30000000000001
Svi Mykhailiuk,UTA,28.0,N/A,23,26.0,9.0,2.7,2.1,0.5,0.1,7.2,0.3,0.9,0.476,0.372,0.5972222222222222,0.875,8,15,117.6,125.8
T.J. McConnell,IND,33.0,N/A,14,16.6,9.1,2.4,4.3,1.1,0.2,8.6,0.1,0.8,0.508,0.313,0.5348837209302326,1.0,5,9,111.3,118.89999999999999
Taelon Peter,IND,23.0,N/A,15,7.1,1.6,1.1,0.9,0.1,0.1,1.9,0.3,0.6,0.241,0.222,0.3684210526315789,0.8,3,12,111.3,118.89999999999999
Tari Eason,HOU,24.0,N/A,11,23.2,11.5,5.2,1.6,0.8,0.5,8.6,0.6,1.7,0.495,0.509,0.6453488372093024,0.714,8,3,120.9,110.30000000000001
Taurean Prince,MIL,31.0,N/A,8,21.1,6.1,1.6,1.0,0.8,0.3,4.8,0.4,0.6,0.447,0.429,0.59375,1.0,5,3,115.1,118.0
Taylor Hendricks,UTA,22.0,N/A,13,14.5,5.1,3.6,0.5,0.4,0.3,4.4,1.2,0.5,0.404,0.333,0.4886363636363636,0.733,4,9,117.6,125.8
Terance Mann,BKN,29.0,N/A,21,26.3,8.5,3.4,3.5,0.7,0.1,7.0,1.6,1.0,0.442,0.339,0.5142857142857143,0.824,4,17,109.4,117.2
Terrence Shannon Jr.,MIN,25.0,N/A,15,13.0,4.7,1.5,0.7,0.3,0.0,3.6,1.4,0.8,0.407,0.4,0.513888888888889,0.762,9,6,119.6,114.69999999999999
Thanasis Antetokounmpo,MIL,33.0,N/A,9,2.6,2.0,0.4,0.0,0.3,0.3,0.9,1.0,0.1,0.75,0.0,0.7777777777777777,0.667,3,6,115.1,118.0
Thomas Bryant,CLE,28.0,N/A,18,7.8,3.3,2.2,0.2,0.3,0.3,2.9,0.8,0.2,0.423,0.2,0.46551724137931033,0.733,10,8,118.6,115.39999999999999
Tidjane Salaün,CHA,20.0,N/A,11,14.7,6.5,3.8,0.6,0.5,0.2,4.0,1.4,0.6,0.523,0.5,0.6875,0.733,4,7,114.2,118.3
