Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
Dalen Terry,CHI,23.0,N/A,13,11.1,3.1,1.8,1.5,0.8,0.3,2.8,0.5,0.7,0.472,0.231,0.5000000000000001,0.429,5,8,117.3,122.6
Dalton Knecht,LAL,24.0,N/A,19,15.8,6.5,1.9,0.6,0.4,0.4,5.3,0.8,0.4,0.465,0.351,0.5754716981132075,0.667,14,5,118.3,116.1
Daniel Gafford,DAL,27.0,N/A,15,22.9,8.9,6.4,1.3,0.9,1.4,5.5,2.9,1.4,0.61,0.0,0.6,0.791,4,11,111.8,116.1
Daniss Jenkins,DET,24.0,N/A,19,17.9,8.3,1.9,3.5,1.0,0.1,7.1,1.6,1.4,0.444,0.34,0.5070422535211268,0.733,15,4,118.7,113.2
Danny Wolf,BKN,21.0,N/A,9,15.7,7.9,3.9,1.8,0.1,0.2,5.8,1.6,1.4,0.442,0.444,0.560344827586207,0.929,3,6,109.4,117.2
Dario Šarić,SAC,31.0,N/A,3,9.2,1.7,1.7,0.7,0.0,0.0,1.7,0.7,0.3,0.2,0.5,0.2647058823529412,1.0,1,2,111.4,122.0
Darius Garland,CLE,25.0,N/A,9,28.3,14.0,3.0,6.2,0.7,0.1,12.9,3.4,2.8,0.353,0.321,0.43023255813953487,0.871,4,5,118.6,115.39999999999999
David Jones Garcia,SAS,24.0,N/A,10,6.7,3.2,1.2,1.8,0.6,0.1,2.5,0.6,0.5,0.52,0.6,0.58,0.5,6,4,119.6,115.3
Davion Mitchell,MIA,27.0,N/A,24,30.4,9.8,2.7,7.8,1.3,0.0,7.7,1.5,1.4,0.511,0.393,0.5714285714285715,0.639,14,10,121.7,118.2
Day'Ron Sharpe,BKN,24.0,N/A,22,16.2,7.0,5.4,1.8,0.8,0.5,4.3,2.7,1.8,0.6,0.278,0.6279069767441862,0.593,6,16,109.4,117.2
De'Aaron Fox,SAS,27.0,N/A,15,32.7,24.3,3.7,6.5,1.3,0.3,17.3,6.0,3.5,0.486,0.379,0.5549132947976878,0.844,10,5,119.6,115.3
De'Andre Hunter,CLE,28.0,N/A,21,28.8,16.0,4.3,2.5,0.8,0.1,12.3,3.7,1.7,0.444,0.311,0.5284552845528455,0.831,12,9,118.6,115.39999999999999
De'Anthony Melton,GSW,27.0,N/A,2,19.2,13.5,1.0,2.0,2.0,0.5,10.0,4.0,2.0,0.45,0.333,0.525,0.75,1,1,113.5,111.7
DeAndre Jordan,NOP,37.0,N/A,2,11.7,4.5,5.0,0.0,0.0,0.0,2.5,1.0,0.5,0.8,0.0,0.8,0.5,0,2,113.0,123.6
DeMar DeRozan,SAC,36.0,N/A,24,33.1,18.0,3.1,3.5,1.3,0.2,13.1,4.6,1.1,0.498,0.367,0.5267175572519084,0.892,6,18,111.4,122.0
Dean Wade,CLE,29.0,N/A,23,22.2,5.3,3.8,1.6,0.8,0.6,4.8,1.0,0.3,0.373,0.296,0.47916666666666663,0.696,13,10,118.6,115.39999999999999
Deandre Ayton,LAL,27.0,N/A,21,29.5,15.3,8.8,0.9,0.7,1.1,10.0,1.6,2.0,0.706,0.0,0.71,0.676,15,6,118.3,116.1
Deni Avdija,POR,24.0,N/A,24,34.3,25.8,7.2,6.3,0.7,0.6,16.3,9.6,3.6,0.478,0.38,0.5552147239263804,0.809,9,15,117.4,120.7
Dennis Schröder,SAC,32.0,N/A,18,29.2,12.4,3.7,6.0,0.8,0.2,11.5,2.3,1.9,0.396,0.333,0.4652173913043478,0.78,5,13,111.4,122.0
Dereck Lively II,DAL,21.0,N/A,7,16.5,4.3,5.3,1.9,0.6,1.6,2.6,1.4,1.4,0.611,0.0,0.6153846153846154,0.8,3,4,111.8,116.1
Derik Queen,NOP,20.0,N/A,25,24.9,12.9,6.4,3.9,1.0,0.8,9.6,4.1,2.3,0.496,0.111,0.5052083333333334,0.796,3,22,113.0,123.6
Derrick Jones Jr.,LAC,28.0,N/A,13,24.9,10.5,2.4,1.1,0.8,1.2,7.1,2.2,0.8,0.533,0.348,0.6197183098591549,0.786,4,9,111.6,116.8
Derrick White,BOS,31.0,N/A,23,33.2,17.5,4.1,5.3,1.5,1.3,15.5,2.7,1.7,0.393,0.338,0.4935483870967742,0.836,14,9,117.3,110.6
Desmond Bane,ORL,27.0,N/A,25,33.2,19.0,4.4,4.5,0.8,0.3,15.3,3.8,2.0,0.448,0.349,0.5032679738562091,0.936,15,10,117.8,113.39999999999999
Devin Booker,PHX,29.0,N/A,22,34.7,25.0,4.3,6.7,0.9,0.4,17.8,8.0,3.7,0.457,0.315,0.5056179775280899,0.874,13,9,115.9,113.5
Devin Carter,SAC,23.0,N/A,8,8.1,2.1,1.5,1.1,0.8,0.1,2.6,0.6,0.8,0.238,0.182,0.28846153846153844,1.0,1,7,111.4,122.0
Devin Vassell,SAS,25.0,N/A,23,32.4,15.7,3.7,2.4,1.0,0.4,12.8,2.0,1.0,0.437,0.398,0.546875,0.87,16,7,119.6,115.3
Dillon Brooks,PHX,29.0,N/A,18,31.3,22.1,3.1,1.9,1.5,0.1,18.2,4.1,2.3,0.453,0.306,0.5137362637362637,0.822,11,7,115.9,113.5
Domantas Sabonis,SAC,29.0,N/A,11,33.2,17.2,12.3,3.7,1.2,0.2,13.2,4.6,2.5,0.51,0.2,0.5227272727272728,0.725,2,9,111.4,122.0
Dominick Barlow,PHI,22.0,N/A,14,26.3,7.9,5.6,2.0,0.8,1.1,6.1,1.7,1.2,0.494,0.25,0.5245901639344263,0.833,8,6,116.9,116.10000000000001
Donovan Clingan,POR,21.0,N/A,21,25.2,10.0,10.2,1.7,0.6,1.4,8.0,2.0,0.8,0.482,0.241,0.53125,0.81,9,12,117.4,120.7
Donovan Mitchell,CLE,29.0,N/A,23,34.3,30.5,4.8,5.5,1.4,0.3,21.1,6.3,3.4,0.502,0.385,0.5971563981042654,0.836,13,10,118.6,115.39999999999999
Donte DiVincenzo,MIN,28.0,N/A,24,31.1,13.2,4.0,3.7,1.1,0.4,10.2,2.1,1.4,0.414,0.381,0.5588235294117647,0.84,15,9,119.6,114.69999999999999
Doug McDermott,SAC,33.0,N/A,1,7.8,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.667,0.667,1.0,0.0,0,1,111.4,122.0
